id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,Unnamed: 16,rac,img,dyn,decision,feature
20260322_152458_930650,33.80625,-0.0419,-0.0347,0.94,12.5,33.975,33.80625,33.58125,33.69375,-0.004991681,0.0,0.006655574,0.003327787,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152458_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152458_930650.jpg,,0.34,0.346933,nan,0.346933,nan
20260322_152458_930650,33.7078125,-0.039925,-0.020725,0.8574999999999999,11.525,33.80625,33.7640625,33.567187499999996,33.609375,-0.0029020100000000004,-0.00168350175,0.00414992975,0.00291671575,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152458_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152458_930650.jpg,,0.34,0.346933,nan,0.346933,nan
20260322_152458_930650,33.609375,-0.03795,-0.006749999999999999,0.7749999999999999,10.55,33.6375,33.721875,33.553124999999994,33.525000000000006,-0.0008123390000000005,-0.0033670035,0.0016442855000000003,0.0025056445,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152458_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152458_930650.jpg,,0.34,0.346933,nan,0.346933,nan
20260322_152458_930650,33.5109375,-0.035975,0.007225000000000009,0.6924999999999999,9.575,33.46875,33.6796875,33.5390625,33.440625000000004,0.001277332,-0.005050505250000001,-0.00086135875,0.00209457325,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152458_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152458_930650.jpg,,0.34,0.346933,0.309956,0.340523,0.301604
20260322_152459_180650,33.4125,-0.034,0.0212,0.61,8.6,33.3,33.6375,33.525,33.35625,0.003367003,-0.006734007,-0.003367003,0.001683502,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_180650.jpg,,0.34,0.341795,0.362784,0.344477,0.324326
20260322_152459_180650,33.35625,-0.020350000000000007,0.018250000000000002,0.4525,9.25,33.2578125,33.5390625,33.496875,33.2578125,0.0029489810000000003,-0.0054742340000000006,-0.0042201675,0.0029575417499999998,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_180650.jpg,,0.34,0.341795,0.373974,0.348996,0.329161
20260322_152459_180650,33.3,-0.006699999999999991,0.015299999999999998,0.2949999999999999,9.9,33.215624999999996,33.440625,33.46875,33.159375,0.0025309589999999997,-0.004214460999999999,-0.005073332000000001,0.004231581500000001,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_180650.jpg,,0.34,0.341795,0.330949,0.345047,0.322027
20260322_152459_180650,33.24375,0.006950000000000005,0.01235,0.13749999999999996,10.549999999999999,33.1734375,33.3421875,33.440625,33.0609375,0.002112937,-0.0029546879999999996,-0.0059264965000000005,0.00550562125,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_180650.jpg,,0.34,0.341795,0.275401,0.333815,0.307713
20260322_152459_430650,33.1875,0.0206,0.0094,-0.02,11.2,33.13125,33.24375,33.4125,32.9625,0.001694915,-0.001694915,-0.006779661,0.006779661,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_430650.jpg,,0.34,0.351313,0.243973,0.325161,0.304437
20260322_152459_430650,33.13125,0.010825000000000001,0.0037750000000000006,0.0325,10.975,33.1171875,33.2296875,33.4265625,33.0328125,0.00041794399999999995,-0.002977671,-0.008924336250000001,0.00295164,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_430650.jpg,,0.34,0.351313,0.238313,0.320494,0.302645
20260322_152459_430650,33.075,0.0010500000000000023,-0.0018499999999999992,0.085,10.75,33.103125000000006,33.215625,33.440625,33.103125,-0.0008590270000000001,-0.004260427,-0.0110690115,-0.0008763809999999999,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_430650.jpg,,0.34,0.351313,0.237121,0.318478,0.302984
20260322_152459_430650,33.01875,-0.00872500000000001,-0.007475000000000004,0.13750000000000007,10.525,33.089062500000004,33.2015625,33.4546875,33.1734375,-0.002135998000000002,-0.005543183000000001,-0.013213686750000002,-0.004704402000000004,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_430650.jpg,,0.34,0.351313,0.235631,0.318193,0.304303
